                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.53459,                 5.3461,                0.37475,                0.45816,                 1.0796,                0.97999,                0.97973,                0.99332,                0.77134,                0.48349,                0.48667,                0.27119,                0.05963,                0.82341,                 4.9339,                0.14569,                0.47768,                 1.2742,              0.0094159,              0.0094159,              0.0094159
                     61,                0.52286,                 5.2595,                0.37199,                0.45411,                 1.0715,                0.99329,                0.98686,                0.99487,                0.79141,                0.44958,                0.44667,                0.23782,                0.06352,                0.80406,                 4.7862,                0.16126,                0.43379,                 1.2461,               0.009406,               0.009406,               0.009406
                     62,                0.52667,                 5.2294,                0.37581,                0.44911,                 1.0746,                0.99886,                   0.98,                0.99228,                0.78251,                0.49737,                0.48667,                0.29455,                 0.0721,                0.85119,                 4.8864,                0.16323,                0.42183,                 1.2848,              0.0093961,              0.0093961,              0.0093961
                     63,                0.53432,                 5.3092,                0.38027,                0.45343,                 1.0758,                0.91089,                   0.98,                0.97703,                0.77072,                0.49744,                   0.46,                0.26582,                0.05969,                0.78905,                 4.8053,                0.18331,                0.48563,                 1.2588,              0.0093862,              0.0093862,              0.0093862
                     64,                0.52533,                 5.2631,                0.37628,                0.45075,                 1.0827,                0.97284,                   0.98,                0.99257,                0.77465,                0.57556,                0.52434,                0.34526,                0.08473,                0.81711,                 4.6758,                0.16643,                0.44574,                 1.2585,              0.0093763,              0.0093763,              0.0093763
                     65,                 0.5198,                 5.1427,                 0.3675,                 0.4567,                 1.0715,                0.98054,                0.98667,                0.99367,                0.78001,                0.52972,                0.50667,                0.30258,                0.07465,                0.83689,                  4.933,                0.16571,                0.44969,                 1.2854,              0.0093664,              0.0093664,              0.0093664
                     66,                0.52209,                 5.1835,                0.36726,                 0.4549,                 1.0788,                0.98632,                0.96125,                0.99087,                0.77386,                0.55791,                   0.52,                0.32921,                0.07097,                0.82175,                 4.9112,                0.17791,                 0.4626,                 1.2623,              0.0093565,              0.0093565,              0.0093565
                     67,                0.52241,                 5.2415,                0.37364,                0.44513,                 1.0715,                0.97363,                 0.9846,                0.99263,                0.78106,                0.54853,                0.52649,                0.35544,                0.08601,                0.79777,                 4.7539,                0.16444,                0.44066,                 1.2281,              0.0093466,              0.0093466,              0.0093466
                     68,                0.52083,                 5.2129,                0.36762,                0.44895,                 1.0681,                0.96799,                0.96667,                0.98964,                0.77442,                 0.5318,                0.52667,                 0.3121,                0.07074,                 0.8323,                 4.8076,                0.18235,                 0.4811,                 1.2608,              0.0093367,              0.0093367,              0.0093367
                     69,                0.51154,                 5.1025,                0.36514,                0.44477,                 1.0656,                0.96921,                0.97333,                0.98649,                0.79173,                0.55089,                0.55333,                  0.336,                0.08527,                0.79326,                 4.6517,                0.14603,                0.47332,                 1.2309,              0.0093268,              0.0093268,              0.0093268
                     70,                0.52157,                  5.136,                0.36468,                0.45315,                 1.0808,                0.96655,                0.96332,                0.98166,                0.76324,                0.48956,                   0.52,                0.30119,                0.06869,                0.83287,                 4.8294,                0.16654,                0.47522,                 1.2784,              0.0093169,              0.0093169,              0.0093169
                     71,                0.50992,                 5.1642,                0.35892,                0.44473,                 1.0754,                0.97378,                0.95333,                0.99158,                 0.8015,                0.53022,                0.50667,                0.31731,                 0.0759,                0.78805,                 4.7934,                0.14911,                0.45444,                 1.2294,               0.009307,               0.009307,               0.009307
                     72,                0.50895,                  5.141,                0.35756,                0.44725,                 1.0672,                0.96364,                0.95333,                0.97604,                0.79832,                0.56564,                0.52667,                0.34338,                0.08602,                0.77936,                 4.7151,                0.14518,                0.43735,                 1.1933,              0.0092971,              0.0092971,              0.0092971
                     73,                0.50577,                 5.1195,                0.36151,                0.43564,                 1.0647,                0.97133,                   0.98,                0.99059,                 0.7655,                0.51234,                0.51333,                0.31606,                0.08493,                0.82078,                 4.7795,                0.16256,                0.45523,                 1.2706,              0.0092872,              0.0092872,              0.0092872
                     74,                0.50906,                 5.0615,                0.36315,                0.43107,                 1.0637,                0.96013,                0.98667,                0.98332,                0.76776,                0.52481,                   0.54,                0.32578,                0.07564,                0.82805,                 4.6953,                  0.145,                0.44502,                 1.2968,              0.0092773,              0.0092773,              0.0092773
                     75,                 0.5021,                 5.0816,                0.35553,                0.42859,                  1.056,                0.96702,                0.97749,                0.97773,                0.77355,                0.49178,                0.49333,                0.29723,                0.07789,                0.81121,                 4.7613,                0.15043,                0.46611,                 1.2597,              0.0092674,              0.0092674,              0.0092674
                     76,                 0.4923,                 5.0377,                0.36075,                0.43468,                 1.0568,                 0.9642,                0.97333,                 0.9918,                0.79688,                0.59888,                0.59333,                0.40784,                0.10077,                0.78969,                 4.6889,                0.15029,                0.43731,                  1.217,              0.0092575,              0.0092575,              0.0092575
                     77,                0.49901,                 5.1543,                0.36801,                0.43328,                 1.0617,                0.97325,                0.97029,                0.98133,                 0.7773,                0.51653,                0.51333,                0.31554,                0.08241,                0.78333,                 4.6666,                 0.1382,                0.44102,                 1.2312,              0.0092476,              0.0092476,              0.0092476
